,song,album,artist


"Dusty Springfield","I Don't Want to Hear It Anymore","from Dusty In Memphis"

"The Byrds","Stranger in a Strange Land (Instrumental)","from Turn! Turn! Turn!"

"Mogwai","Emergency Trap","from Mr. Beast"

"The Mountain Goats","The Legend of Chavo Guerrero","from Beat The Champ"

"Mount Moriah","I Built a Town","from Miracle Temple"

"Harry Nilsson","You Can't Do That","from Pandemonium Shadow Show"

,pop the beat bubble burst

"Elvis Costello","Radio, Radio [Extended Play]","from This Year's Model [Bonus Tracks]"

"Derek & The Dominos","Roll It Over (Remastered - 40th Anniversary Version - 2010)","from Layla And Other Assorted Love Songs (2 Part Deluxe Edition)"

"The Rolling Stones","Complicated","from Between the Buttons"

"The Creation","Bony Maronie","from Best of The Creation"

"George Harrison","Cheer Down","from Best Of Dark Horse 1976-1989"

"The See See","And I Wonder","from Days, Nights & Late Morning Lights"

"Teenage Fanclub","Slow Fade","from Man-Made"

"David Bowie","Black Country Rock","from The Man Who Sold The World"

,sound salvation

"Sam Cooke And The Soul Stirrers","I'm So Glad (Trouble Don't Last Always)","from The Complete Specialty Recordings of Sam Cooke"

"Sam Cooke","Get Yourself Another Fool","from Night Beat"

"The Continental Drifters","The Rain Song (Early Version)","from Drifted","In the Beginning and Beyond"

"Buffalo Springfield","Hung Upside Down","from Buffalo Springfield Again"

"Louis Armstrong","West End Blues","from Hot Fives and Sevens"

"Cab Calloway","The Scat Song","from Cab Calloway and Company"

"Etta James","You Can Leave Your Hat On","from The Essential Etta James"

"Aretha Franklin","That's the Way I Feel About Cha","from Rare & Unreleased Recordings from the Golden Reign of the Queen of Soul"

"Brian Wilson","Tell Me Why","from No Pier Pressure"

"FFS","Things I Won't Get","from FFS"

,afternoon delight

"Devo","Time Out for Fun","from Oh No! It's Devo"

"The Butthole Surfers","Eindhoven Chicken Masque","from Humpty Dumpty LSD"

"The B-52s","Summer Of Love","from Nude On The Moon"

"Tame Impala","Past life","from Currents"

"Pink Floyd","Childhood's End","from Obscured By Clouds"

"Santana","Taboo","from III"

,coin-operated radio

"Girlpool","Before the World Was Big"

"Thee Oh Sees","Web","from Mutilator Defeated At Last"

"Panda Bear","Crosswords","from Panda Bear Meets the Grim Reaper"

"Heartless Bastards","Gates of Dawn","from Restless Ones"

"Mikal Cronin","i) Alone","from MCIII"

"Beck","Dreams (Clean Version)","from Dreams [SINGLE]"

"Beth Bombara","Greet the Day","from Beth Bombara"

"My Morning Jacket","Big Decisions","from The Waterfall"

"Beach House","sparks","from Depression Cherry"

"Unknown Mortal Orchestra","Multi-Love"

"Jason Isbell","Something More Than Free"

"Alabama Shakes","Don't Wanna Fight","from Sound & Color"

"Jamie xx","Loud Places (feat. Romy)","from In Colour"

"JD McPherson","head over heels","from Let the Good Times Roll"

"The Helio Sequence","Stoic Resemblance","from The Helio Sequence"

"Björk","Stonemilker","from Vulnicura"

"Shamir","Call It Off","from Ratchet"

"D'Angelo & The Vanguard","Really Love","from Black Messiah"

"Algiers","Black Eunuch","from Algiers"

"Blur","There Are Too Many of Us","from The Magic Whip"
